period,reporter_iso_limpio,partner_iso_limpio,M,X,peso_comercio_total,balanza_comercial,ln_peso_comercio_total
2004,ARE,QAT,37539266.0,41124510.0,78663776.0,3585244.0,18.180693340596253
2004,ARE,ROU,33619895.0,2828499.0,36448394.0,-30791396.0,17.411407982527653
2004,ARE,RUS,81507500.0,62938739.0,144446239.0,-18568761.0,18.788417954769653
2004,ARE,RWA,0.0,2291666.0,2291666.0,2291666.0,14.644790058303334
2004,ARE,S19,141305497.0,14337846059.0,14479151556.0,14196540562.0,23.395975628057442
2004,ARE,SAU,328347106.0,149026083.0,477373189.0,-179321023.0,19.983809111934292
2004,ARE,SCG,313030.0,465153.0,778183.0,152123.0,13.564718279053942
2004,ARE,SDN,96086.0,60056258.0,60152344.0,59960172.0,17.912390985493694
2004,ARE,SEN,64319.0,4389406.0,4453725.0,4325087.0,15.30925160717029
2004,ARE,SGP,42060600.0,21462178.0,63522778.0,-20598422.0,17.966909123946152
2004,ARE,SLE,0.0,5220950.0,5220950.0,5220950.0,15.468190127173395
2004,ARE,SLV,0.0,44551.0,44551.0,44551.0,10.704412325269505
2004,ARE,SMR,4353.0,0.0,4353.0,-4353.0,8.378850241794492
2004,ARE,SOM,13490.0,58573140.0,58586630.0,58559650.0,17.88601708858763
2004,ARE,STP,0.0,38762.0,38762.0,38762.0,10.56522146239033
2004,ARE,SVK,19086255.0,1128.0,19087383.0,-19085127.0,16.764538151214854
2004,ARE,SVN,2845824.0,227905.0,3073729.0,-2617919.0,14.938402365781325
2004,ARE,SWE,197827583.0,1004299.0,198831882.0,-196823284.0,19.10797021659127
2004,ARE,SWZ,0.0,118276.0,118276.0,118276.0,11.680784610100622
2004,ARE,SYC,0.0,968961.0,968961.0,968961.0,13.783980674417673
2004,ARE,SYR,1945527.0,14472020.0,16417547.0,12526493.0,16.61386132075245
2004,ARE,TCD,0.0,4278492.0,4278492.0,4278492.0,15.269111402751495
2004,ARE,TGO,0.0,1955707.0,1955707.0,1955707.0,14.486262834179318
2004,ARE,THA,128158295.0,12905797.0,141064092.0,-115252498.0,18.764724905344902
2004,ARE,TJK,0.0,11999168.0,11999168.0,11999168.0,16.300347955354383
2004,ARE,TKM,7497.0,74154091.0,74161588.0,74146594.0,18.12175690563742
2004,ARE,TTO,0.0,28047.0,28047.0,28047.0,10.241672607161016
2004,ARE,TUN,191712.0,6793000.0,6984712.0,6601288.0,15.75923446178325
2004,ARE,TUR,31659710.0,5418446.0,37078156.0,-26241264.0,17.428538594082557
2004,ARE,TZA,1773.0,82674357.0,82676130.0,82672584.0,18.23044149681113
2004,ARE,UGA,13039.0,7224894.0,7237933.0,7211855.0,15.794846364523217
2004,ARE,UKR,115757650.0,124563115.0,240320765.0,8805465.0,19.29748511395174
2004,ARE,URY,257572.0,53805.0,311377.0,-203767.0,12.648762887202933
2004,ARE,USA,903478456.0,96813230.0,1000291686.0,-806665226.0,20.72355748141403
2004,ARE,UZB,93981.0,9650038.0,9744019.0,9556057.0,16.092164321474865
2004,ARE,VEN,366044.0,159207.0,525251.0,-206837.0,13.171633426410612
2004,ARE,VNM,5846429.0,6430592.0,12277021.0,584163.0,16.323239943130094
2004,ARE,YEM,1622836.0,89701922.0,91324758.0,88079086.0,18.32993249171523
2004,ARE,ZAF,58574545.0,15158297.0,73732842.0,-43416248.0,18.115958888831816
2004,ARE,ZMB,73628.0,1927953.0,2001581.0,1854325.0,14.509448425848593
2004,ARE,ZWE,0.0,1769870.0,1769870.0,1769870.0,14.386417220538105
2004,ARG,ABW,21878326.0,20777.0,21899103.0,-21857549.0,16.90195628070775
2004,ARG,AFG,262.0,0.0,262.0,-262.0,5.572154032177765
2004,ARG,AGO,0.0,43056122.0,43056122.0,43056122.0,17.578015008689448
2004,ARG,ALB,0.0,919306.0,919306.0,919306.0,13.731375404312141
2004,ARG,AND,5999.0,2651.0,8650.0,-3348.0,9.065430200180375
2004,ARG,ANT,5516352.0,40863998.0,46380350.0,35347646.0,17.65238645768023
2004,ARG,ARE,1860046.0,132460744.0,134320790.0,130600698.0,18.715741459638195
2004,ARG,ARM,0.0,89712.0,89712.0,89712.0,11.404370965082139
2004,ARG,ATG,0.0,349.0,349.0,349.0,5.857933154483459
2004,ARG,AUS,48280991.0,43835700.0,92116691.0,-4445291.0,18.33856672258897
2004,ARG,AUT,31632217.0,651291.0,32283508.0,-30980926.0,17.290067100538597
2004,ARG,AZE,0.0,24855.0,24855.0,24855.0,10.120854451072884
2004,ARG,BEL,52032899.0,65998188.0,118031087.0,13965289.0,18.586458605358192
2004,ARG,BEN,0.0,138226.0,138226.0,138226.0,11.836652540264053
2004,ARG,BFA,545.0,0.0,545.0,-545.0,6.302618975744905
2004,ARG,BGD,13.0,132551301.0,132551314.0,132551288.0,18.702480411434706
2004,ARG,BGR,619502.0,178352.0,797854.0,-441150.0,13.589682155661075
2004,ARG,BHR,0.0,2835020.0,2835020.0,2835020.0,14.857559902523962
2004,ARG,BHS,58.0,25863035.0,25863093.0,25862977.0,17.06832756838939
2004,ARG,BIH,21338.0,2587566.0,2608904.0,2566228.0,14.774441151037365
2004,ARG,BLR,104858.0,1323164.0,1428022.0,1218306.0,14.171801528194536
2004,ARG,BLZ,0.0,509768.0,509768.0,509768.0,13.141712960915198
2004,ARG,BOL,103805919.0,135995994.0,239801913.0,32190075.0,19.29532378217721
2004,ARG,BRA,3058691807.0,3128723471.0,6187415278.0,70031664.0,22.54578327246465
2004,ARG,BRB,0.0,1186451.0,1186451.0,1186451.0,13.986477898919524
2004,ARG,BRN,0.0,144800.0,144800.0,144800.0,11.883115664987255
2004,ARG,BWA,0.0,705.0,705.0,705.0,6.559615237493242
2004,ARG,CAN,37368601.0,53646856.0,91015457.0,16278255.0,18.326539918187034
2004,ARG,CHE,57582668.0,721928.0,58304596.0,-56860740.0,17.88119149898403
2004,ARG,CHL,78944303.0,2557882408.0,2636826711.0,2478938105.0,21.692842028089277
2004,ARG,CHN,225100767.0,1087678433.0,1312779200.0,862577666.0,20.995412254378817
2004,ARG,CIV,0.0,1305784.0,1305784.0,1305784.0,14.082314950457786
2004,ARG,CMR,13.0,422305.0,422318.0,422292.0,12.953516231621991
2004,ARG,COD,0.0,13851556.0,13851556.0,13851556.0,16.443908203051667
2004,ARG,COG,1959944.0,12150597.0,14110541.0,10190653.0,16.46243273556468
2004,ARG,COL,12235943.0,130654037.0,142889980.0,118418094.0,18.777585528475726
2004,ARG,CPV,0.0,209300.0,209300.0,209300.0,12.251528686253542
2004,ARG,CRI,194264.0,7269490.0,7463754.0,7075226.0,15.825569196747653
2004,ARG,CUB,326981.0,48170129.0,48497110.0,47843148.0,17.697014787123216
2004,ARG,CYP,562.0,17482781.0,17483343.0,17482219.0,16.676759214243145
2004,ARG,CZE,3637971.0,46136.0,3684107.0,-3591835.0,15.119538991888541
2004,ARG,DEU,319215205.0,100777657.0,419992862.0,-218437548.0,19.855748276240163
2004,ARG,DJI,485625.0,587598.0,1073223.0,101973.0,13.886177760310021
2004,ARG,DMA,223.0,64449.0,64672.0,64226.0,11.077099082726058
2004,ARG,DNK,30216558.0,246366850.0,276583408.0,216150292.0,19.43802299347259
2004,ARG,DOM,285893.0,86587382.0,86873275.0,86301489.0,18.279961017048006
2004,ARG,DZA,30959.0,240751259.0,240782218.0,240720300.0,19.299403427310406
2004,ARG,ECU,750294.0,125228512.0,125978806.0,124478218.0,18.651624252356115
2004,ARG,EGY,78314.0,446303006.0,446381320.0,446224692.0,19.916684124517914
2004,ARG,ERI,0.0,4765.0,4765.0,4765.0,8.469262657658687
2004,ARG,ESP,146010431.0,713666727.0,859677158.0,567656296.0,20.57206748022129
2004,ARG,EST,320459.0,554525.0,874984.0,234066.0,13.681962022335668
2004,ARG,ETH,0.0,9050.0,9050.0,9050.0,9.11063052782717
2004,ARG,FIN,8661618.0,1139556.0,9801174.0,-7522062.0,16.0980128344128
2004,ARG,FRA,272094913.0,72898810.0,344993723.0,-199196103.0,19.65903678352582
2004,ARG,GAB,0.0,1185681.0,1185681.0,1185681.0,13.985828694425138
2004,ARG,GBR,108802405.0,73224558.0,182026963.0,-35577847.0,19.019665387913527
2004,ARG,GEO,6796.0,15765.0,22561.0,8969.0,10.024022354164865
2004,ARG,GHA,30759954.0,1259330.0,32019284.0,-29500624.0,17.281848935489652
2004,ARG,GIB,0.0,1364.0,1364.0,1364.0,7.21890970761906
2004,ARG,GIN,0.0,399679.0,399679.0,399679.0,12.89841950591935
2004,ARG,GMB,0.0,838745.0,838745.0,838745.0,13.639663198255166
2004,ARG,GNQ,0.0,72589.0,72589.0,72589.0,11.192582450278886
2004,ARG,GRC,7932269.0,49842732.0,57775001.0,41910463.0,17.872066748741766
2004,ARG,GRD,0.0,82166.0,82166.0,82166.0,11.316509040583675
2004,ARG,GTM,47.0,53547705.0,53547752.0,53547658.0,17.79608439319334
2004,ARG,GUY,0.0,153186.0,153186.0,153186.0,11.939414676291253
2004,ARG,HKG,3248250.0,6823060.0,10071310.0,3574810.0,16.12520144490018
2004,ARG,HND,0.0,24121453.0,24121453.0,24121453.0,16.99861220993009
2004,ARG,HRV,3346.0,6626017.0,6629363.0,6622671.0,15.707019429958889
2004,ARG,HTI,0.0,7034732.0,7034732.0,7034732.0,15.766370294718705
2004,ARG,HUN,4253969.0,82616.0,4336585.0,-4171353.0,15.282597960571481
2004,ARG,IDN,15385295.0,161084685.0,176469980.0,145699390.0,18.988661340552383
2004,ARG,IND,11530377.0,472777767.0,484308144.0,461247390.0,19.998231925319995
